ID;Nbr;Length;Width;Height;NestedHeight;Weight;SC;MaxStackability;Orientation;ListOfTrucks;ListOfInventoryCosts
0091017200_03072022000001;1;1206;1010;1085;0;291.5;GERB--0528_1206_1010;100;none;P248562301_0-P248562301_1-P248562301_2;0-0-0
0091017200_03072022000002;1;1200;1000;975;45;194.112;GERB--1213_1200_1000;100;none;P256530303_0-P256530303_1-P252530303_0-P252530303_1-P252530303_2;0-0-720-720-720
0091017200_03072022000003;1;1206;1010;1391;0;90.2;GERB--0528_1206_1010;100;none;P249501001_0-P249501001_1-P249501001_2-P248501001_0-P248501001_1-P244501001_0-P244501001_1;0-0-0-180-180-900-900
0091017200_03072022000004;12;1200;1000;975;45;191.088;GERB--1213_1200_1000;100;none;P251531001_0-P251531001_1-P251531001_2-P250531001_0-P250531001_1-P250531001_2-P248531001_0-P248531001_1-P248531001_2;0-0-0-150-150-150-450-450-450
0091017200_03072022000005;1;1206;1010;485;0;38.42;GERB--0528_1206_1010;100;none;P200501001_0-P200501001_1-P200501001_2-P199501001_0-P199501001_1;0-0-0-720-720
0091017200_03072022000006;1;1600;1200;930;45;142.12;GERB--1613_1600_1200;100;widthwise;P241513001_0-P241513001_1-P241513001_2-P237513001_0-P237513001_1-P237513001_2-P236513001_0-P236513001_1-P236513001_2;0-0-0-360-360-360-450-450-450
0091017200_03072022000007;1;1200;1000;930;45;304.84;GERB--1213_1200_1000;100;none;P241573701_0-P241573701_1-P241573701_2-P238573701_0-P238573701_1-P238573701_2-P237573701_0-P237573701_1-P236573701_0-P236573701_1;0-0-0-630-630-630-840-840-1050-1050
0091017200_03072022000008;2;1200;1000;975;45;158.85;GERB--1213_1200_1000;100;none;P250591303_0-P250591303_1-P249591303_0-P249591303_1-P248591303_0-P248591303_1-P244591303_0-P244591303_1;0-0-60-60-120-120-360-360
0091017200_03072022000009;1;1200;1000;975;45;260.04;GERB--1213_1200_1000;100;none;P269647103_0-P269647103_1-P266647103_0-P266647103_1-P266647103_2-P265647103_0-P265647103_1-P264647103_0-P264647103_1-P263647103_0-P263647103_1-P262647103_0-P262647103_1;0-0-450-450-450-600-600-750-750-900-900-1050-1050
0091017200_03072022000010;2;1200;1000;750;45;120.588;GERB--1213_1200_1000;100;none;P194591301_0-P194591301_1-P194591303_0-P194591303_1-P193591301_0-P193591301_1-P193591303_0-P193591303_1-P192591301_0-P192591301_1-P192591303_0-P192591303_1-P189591303_0-P189591303_1;0-0-0-0-60-60-60-60-120-120-120-120-300-300
0091017200_03072022000011;3;800;600;560;42;56.2;GERB--0588_800_600;100;none;P234573701_0-P234573701_1-P234573701_2-P231573701_0-P231573701_1-P230573701_0-P230573701_1-P229573701_0-P229573701_1;0-0-0-180-180-240-240-300-300
0091017200_03072022000012;1;1206;1010;1426;0;145.94;GERB--0528_1206_1010;100;none;P256636703_0-P256636703_1-P255636703_0-P255636703_1-P255636703_2;0-0-1590-1590-1590
0091017200_03072022000013;1;1206;1010;1085;0;92.06;GERB--0528_1206_1010;100;none;P192513001_0-P192513001_1;0-0
0091017200_03072022000014;1;1206;1010;985;0;287.2;GERB--0528_1206_1010;2;none;P243636703_0-P243636703_1-P243636703_2;0-0-0
0091017200_03072022000015;4;1600;1200;930;45;206.38;GERB--1613_1600_1200;100;widthwise;P236358103_0-P236358103_1-P235358103_0-P235358103_1-P231358103_0-P231358103_1-P231358103_2-P230358103_0-P230358103_1;0-0-150-150-750-750-750-900-900
0091017200_03072022000016;1;1206;1010;982;0;122.0;GERB--0528_1206_1010;100;none;P250573903_0-P250573903_1-P250573903_2;0-0-0
0091017200_03072022000017;3;1200;1000;975;45;166.216;GERB--1213_1200_1000;100;none;P243562301_0-P243562301_1-P243562301_2-P242562305_0-P242562305_1-P242562305_2-P241562301_0-P241562301_1-P241562301_2-P238562301_0-P238562301_1-P238562301_2;0-0-0-180-180-180-360-360-360-900-900-900
0091017200_03072022000018;3;1200;1000;750;45;120.588;GERB--1213_1200_1000;100;none;P231591303_0-P231591303_1-P230591301_0-P230591301_1-P230591303_0-P230591303_1-P229591301_0-P229591301_1-P229591303_0-P229591303_1-P228591301_0-P228591301_1-P228591303_0-P228591303_1;0-0-60-60-60-60-120-120-120-120-180-180-180-180
0091017200_03072022000019;9;2400;1200;1490;45;290.6;GERB--0356_2400_1200;100;widthwise;P263550401_0-P263550401_1-P263550401_2-P263550401_3-P262550401_0-P262550401_1-P262550401_2-P262550401_3-P259550401_0-P259550401_1-P259550401_2-P258550401_0-P258550401_1-P258550401_2;0-0-0-0-150-150-150-150-600-600-600-750-750-750
0091017200_03072022000020;7;2400;1200;975;45;361.66;GERB--0059_2400_1200;100;widthwise;P267550451_0-P267550451_1-P267550451_2-P266550401_0-P266550401_1-P266550401_2-P265550401_0-P265550401_1-P265550401_2-P264550401_0-P264550401_1-P264550401_2-P264550401_3-P263550401_0-P263550401_1-P263550401_2-P263550401_3;0-0-0-120-120-120-240-240-240-360-360-360-360-480-480-480-480
0091017200_03072022000021;1;1195;1000;885;45;587.96;GERB--0546_1195_1000;100;none;P256562501_0-P256562501_1-P252562501_0-P252562501_1-P251562501_0-P251562501_1;0-0-960-960-1200-1200
0091017200_03072022000022;11;1200;1000;975;45;143.76;GERB--1213_1200_1000;100;none;P257631301_0-P257631301_1-P257631301_2-P252631301_0-P252631301_1-P252631301_2;0-0-0-450-450-450
0091017200_03072022000023;1;1090;1090;820;0;630.7;GERB--4088_1090_1090;1;none;P269625003_0-P269625003_1;0-0
0091017200_03072022000024;1;1209;1007;750;25;54.865;GERB--2034_1209_1007;100;none;P192591303_0-P192591303_1-P189591303_0-P189591303_1-P188591301_0-P188591301_1;0-0-90-90-120-120
0091017200_03072022000025;1;2000;1600;980;45;406.0;GERB--0269_2000_1600;100;none;P194501503_0-P194501503_1-P194501505_0-P193501501_0-P193501501_1-P193501503_0-P193501503_1-P192501501_0-P192501501_1-P192501503_0-P192501503_1-P189501501_0-P189501501_1-P189501503_0-P189501503_1;0-0-0-180-180-180-180-360-360-360-360-900-900-900-900
0091017200_03072022000026;6;1200;1000;975;45;249.384;GERB--1213_1200_1000;100;none;P251573701_0-P251573701_1-P250573701_0-P250573701_1;0-0-1170-1170
0091017200_03072022000027;6;2400;1200;1490;45;290.6;GERB--0356_2400_1200;100;widthwise;P239550451_0-P239550451_1-P239550453_0-P239550453_1-P238550401_0-P238550401_1-P237550401_0-P237550401_1-P236550401_0-P236550401_1-P235550401_0-P235550401_1;0-0-0-0-150-150-300-300-450-450-600-600
0091017200_03072022000028;2;1206;1010;1181;0;189.04;GERB--0528_1206_1010;100;none;P199625303_0-P199625303_1-P196625303_0-P196625303_1;0-0-2160-2160
0091017200_03072022000029;1;1200;1000;975;45;166.14;GERB--1213_1200_1000;100;none;P193530303_0-P193530303_1-P189530301_0-P189530301_1-P189530301_2;0-0-600-600-600
0091017200_03072022000030;3;1209;1007;990;25;79.136;GERB--2034_1209_1007;100;none;P244591301_0-P244591301_1-P244591301_2-P243591301_0-P243591301_1-P242591301_0-P242591301_1-P242591301_2-P241591301_0-P241591301_1-P241591301_2;0-0-0-30-30-60-60-60-90-90-90
0091017200_03072022000031;4;1200;1000;975;45;229.416;GERB--1213_1200_1000;100;none;P252530301_0-P252530301_1-P252530301_2-P251530301_0-P251530301_1-P251530301_2-P250530301_0-P250530301_1-P249530301_0-P249530301_1-P249530301_2;0-0-0-120-120-120-240-240-360-360-360
