ID;Nbr;Length;Width;Height;NestedHeight;Weight;SC;MaxStackability;Orientation;ListOfTrucks;ListOfInventoryCosts
0090018000_03072022000001;3;780;570;478;47;81.72;GERB--3195_780_570;4;widthwise;P234711301_0-P234711301_1-P234711301_2;0-0-0
0090018000_03072022000002;3;780;570;478;47;96.256;GERB--3195_780_570;4;widthwise;P202711301_0-P202711301_1-P202711301_2;0-0-0
0090018000_03072022000003;6;1200;1000;975;45;577.8;GERB--1213_1200_1000;100;none;P195717701_0-P195717701_1;0-0
0090018000_03072022000004;10;1400;1225;1160;0;278.5;GERB--7976_1400_1225;100;none;P238708201_0-P238708201_1-P237708201_0-P237708201_1;0-0-150-150
0090018000_03072022000005;5;780;570;478;47;100.96;GERB--3195_780_570;4;widthwise;P192711301_0-P192711301_1-P192711301_2;0-0-0
0090018000_03072022000006;16;1400;1200;1450;45;179.4;GERB--0475_1400_1200;100;none;P236709601_0-P236709601_1-P236709601_2-P235709601_0-P235709601_1-P235709601_2;0-0-0-100-100-100
0090018000_03072022000007;1;1600;1200;975;45;1471.6;GERB--1613_1600_1200;100;none;P195711301_0-P195711301_1-P195711301_2;0-0-0
0090018000_03072022000008;1;1900;1200;750;45;713.62;GERB--0109_1900_1200;100;none;P223711301_0-P223711301_1-P223711301_2;0-0-0
0090018000_03072022000009;12;1400;1200;1450;45;179.4;GERB--0475_1400_1200;100;none;P221709601_0-P221709601_1-P221709601_2-P220709601_0-P220709601_1-P220709601_2;0-0-0-100-100-100
0090018000_03072022000010;8;1600;1200;1350;45;303.92;GERB--1613_1600_1200;100;none;P214721301_0-P214721301_1-P214731301_0-P214731301_1-P214731303_0-P213731301_0-P213731301_1;0-0-0-0-0-50-50
0090018000_03072022000011;11;1400;1225;1160;0;317.0;GERB--7976_1400_1225;100;none;P201708201_0-P201708201_1-P200708201_0-P200708201_1;0-0-160-160
0090018000_03072022000012;1;1200;1000;750;45;227.528;GERB--1213_1200_1000;100;none;P234711301_0-P234711301_1-P234711301_2;0-0-0
0090018000_03072022000013;1;780;570;478;47;101.52;GERB--3195_780_570;4;widthwise;P230711301_0-P230711301_1-P230711301_2-P230711301_3;0-0-0-0
0090018000_03072022000014;1;780;570;478;47;270.08;GERB--3195_780_570;4;widthwise;P220711301_0-P220711301_1-P220711301_2;0-0-0
0090018000_03072022000015;3;1600;1200;930;45;454.873;GERB--1613_1600_1200;100;none;P234731801_0-P234731801_1;0-0
0090018000_03072022000016;3;1600;1200;930;45;547.3;GERB--1613_1600_1200;100;none;P213711301_0-P213711301_1-P213711301_2;0-0-0
0090018000_03072022000017;6;1600;1200;1350;45;303.92;GERB--1613_1600_1200;100;none;P230731301_0-P230731301_1-P230731303_0-P230731303_1-P229731305_0-P229731305_1;0-0-0-0-50-50
0090018000_03072022000018;4;1600;1200;930;45;547.3;GERB--1613_1600_1200;100;none;P195711301_0-P195711301_1-P195711301_2;0-0-0
0090018000_03072022000019;2;1600;1200;1350;45;303.92;GERB--1613_1600_1200;100;none;P208731305_0-P208731305_1-P207721301_0-P207721301_1-P207731301_0-P207731301_1-P207731303_0;0-0-50-50-50-50-50
0090018000_03072022000020;1;1200;1000;975;45;246.0;GERB--1213_1200_1000;100;none;P206717601_0-P206717601_1;0-0
0090018000_03072022000021;2;1200;1000;545;45;729.5;GERB--1213_1200_1000;100;none;P200711301_0-P200711301_1-P200711301_2-P199711301_0-P199711301_1;0-0-0-20-20
0090018000_03072022000022;1;1600;1200;1350;45;303.92;GERB--1613_1600_1200;100;none;P221731301_0-P221731301_1-P221731303_0-P220731301_0-P220731301_1;0-0-0-50-50
0090018000_03072022000023;3;1200;1000;750;45;229.88;GERB--1213_1200_1000;100;none;P241711301_0-P241711301_1-P241711301_2;0-0-0
0090018000_03072022000024;1;780;570;478;47;160.56;GERB--3195_780_570;4;widthwise;P220711301_0-P220711301_1-P220711301_2;0-0-0
0090018000_03072022000025;12;1400;1200;1450;45;179.4;GERB--0475_1400_1200;100;none;P206709601_0-P206709601_1-P206709601_2-P203709601_0-P203709601_1;0-0-0-300-300
0090018000_03072022000026;1;780;570;478;47;269.32;GERB--3195_780_570;4;widthwise;P200711301_0-P200711301_1-P200711301_2-P199711301_0-P199711301_1;0-0-0-60-60
0090018000_03072022000027;7;1600;1200;1350;45;303.92;GERB--1613_1600_1200;100;none;P199731301_0-P199731301_1-P196731303_0-P196731303_1;0-0-150-150
0090018000_03072022000028;31;1400;1200;1450;45;179.4;GERB--0475_1400_1200;100;none;P206709601_0-P206709601_1-P206709601_2-P203709601_0-P203709601_1;0-0-0-300-300
0090018000_03072022000029;17;1600;1200;1350;45;207.72;GERB--1613_1600_1200;100;none;P227731301_0-P227731301_1-P224731303_0-P224731303_1;0-0-150-150
0090018000_03072022000030;1;1200;1000;750;45;267.8;GERB--1213_1200_1000;100;none;P230711301_0-P230711301_1-P230711301_2-P230711301_3;0-0-0-0
0090018000_03072022000031;32;1400;1200;1450;45;179.4;GERB--0475_1400_1200;100;none;P221709601_0-P221709601_1-P221709601_2-P220709601_0-P220709601_1-P220709601_2;0-0-0-100-100-100
0090018000_03072022000032;11;1600;1200;930;45;438.4;GERB--1613_1600_1200;100;none;P216711301_0-P216711301_1-P216711301_2-P216711301_3;0-0-0-0
0090018000_03072022000033;35;1400;1200;1450;45;179.4;GERB--0475_1400_1200;100;none;P234709601_0-P234709601_1-P234709601_2-P231709601_0-P231709601_1-P231709601_2;0-0-0-300-300-300
0090018000_03072022000034;8;1600;1200;1350;45;303.92;GERB--1613_1600_1200;100;none;P242721301_0-P242721301_1-P242731301_0-P242731301_1-P241731301_0-P241731301_1;0-0-0-0-50-50
0090018000_03072022000035;1;1200;1000;750;45;227.528;GERB--1213_1200_1000;100;none;P213711301_0-P213711301_1-P213711301_2;0-0-0
0090018000_03072022000036;1;1600;1200;1350;45;207.72;GERB--1613_1600_1200;100;none;P238731303_0-P238731303_1-P237731301_0-P237731301_1-P237731303_0-P237731303_1;0-0-50-50-50-50
0090018000_03072022000037;1;1200;1000;930;45;324.1;GERB--1213_1200_1000;100;none;P199731801_0-P199731801_1;0-0
0090018000_03072022000038;4;1200;1000;975;45;165.375;GERB--1213_1200_1000;100;none;P248717601_0-P248717601_1;0-0
0090018000_03072022000039;1;1600;1200;930;45;277.828;GERB--1613_1600_1200;100;none;P206717601_0-P206717601_1;0-0
0090018000_03072022000040;2;1600;1200;1350;45;207.72;GERB--1613_1600_1200;100;none;P193731301_0-P193731301_1-P192731301_0-P192731301_1;0-0-50-50
0090018000_03072022000041;1;780;570;478;47;101.52;GERB--3195_780_570;4;widthwise;P216711301_0-P216711301_1-P216711301_2-P216711301_3;0-0-0-0
0090018000_03072022000042;4;780;570;478;47;96.256;GERB--3195_780_570;4;widthwise;P216711301_0-P216711301_1-P216711301_2-P216711301_3;0-0-0-0
0090018000_03072022000043;8;1200;1000;975;45;577.8;GERB--1213_1200_1000;100;none;P213717701_0-P213717701_1;0-0
0090018000_03072022000044;1;1200;1000;359;0;29.38;GERB--3551_1200_1000;100;none;P231706801_0-P231706801_1;0-0
0090018000_03072022000045;11;1600;1200;1350;45;303.92;GERB--1613_1600_1200;100;none;P189731303_0-P189731303_1-P189731303_2-P188731301_0-P188731301_1-P188731303_0-P188731303_1;0-0-0-50-50-50-50
0090018000_03072022000046;1;1200;1000;930;45;324.1;GERB--1213_1200_1000;100;none;P241731801_0-P241731801_1;0-0
0090018000_03072022000047;2;1900;1200;750;45;845.38;GERB--0109_1900_1200;100;none;P216711301_0-P216711301_1-P216711301_2-P216711301_3;0-0-0-0
0090018000_03072022000048;29;1400;1200;1450;45;179.4;GERB--0475_1400_1200;100;none;P236709601_0-P236709601_1-P236709601_2-P235709601_0-P235709601_1-P235709601_2;0-0-0-100-100-100
0090018000_03072022000049;1;1200;1000;750;45;500.86;GERB--1213_1200_1000;100;none;P228711301_0-P228711301_1-P228711301_2-P228711301_3-P227711301_0-P227711301_1-P227711301_2;0-0-0-0-70-70-70
0090018000_03072022000050;1;1200;1000;1155;0;366.75;GERB--3551_1200_1000;100;none;P206731801_0-P206731801_1;0-0
0090018000_03072022000051;1;1200;1000;558;0;122.032;GERB--3551_1200_1000;100;none;P213717601_0-P213717601_1;0-0
0090018000_03072022000052;1;1200;1000;750;45;405.72;GERB--1213_1200_1000;100;none;P237711301_0-P237711301_1-P237711301_2-P237711301_3;0-0-0-0
0090018000_03072022000053;2;1200;1000;750;45;176.5;GERB--1213_1200_1000;100;none;P200711301_0-P200711301_1-P200711301_2-P199711301_0-P199711301_1;0-0-0-30-30
0090018000_03072022000054;7;1600;1200;1350;45;207.72;GERB--1613_1600_1200;100;none;P217731303_0-P217731303_1-P216731301_0-P216731301_1-P216731303_0;0-0-50-50-50
0090018000_03072022000055;2;780;570;478;47;160.56;GERB--3195_780_570;4;widthwise;P209711301_0-P209711301_1-P209711301_2-P209711301_3;0-0-0-0
0090018000_03072022000056;3;1200;1000;750;45;229.88;GERB--1213_1200_1000;100;none;P248711301_0-P248711301_1-P248711301_2;0-0-0
0090018000_03072022000057;2;1200;1000;750;45;351.756;GERB--1213_1200_1000;100;none;P242711301_0-P242711301_1-P242711301_2-P242711301_3-P241711301_0-P241711301_1-P241711301_2;0-0-0-0-60-60-60
0090018000_03072022000058;7;1600;1200;930;45;547.3;GERB--1613_1600_1200;100;none;P237711301_0-P237711301_1-P237711301_2-P237711301_3;0-0-0-0
0090018000_03072022000059;5;1200;1000;975;45;156.15;GERB--1213_1200_1000;100;none;P248717601_0-P248717601_1;0-0
0090018000_03072022000060;2;1600;1200;975;45;611.224;GERB--1613_1600_1200;100;none;P193711301_0-P193711301_1-P193711301_2-P192711301_0-P192711301_1-P192711301_2;0-0-0-110-110-110
0090018000_03072022000061;14;1400;1225;1160;0;317.0;GERB--7976_1400_1225;100;none;P237708201_0-P237708201_1-P236708201_0-P236708201_1;0-0-160-160
0090018000_03072022000062;1;1600;1200;975;45;1471.6;GERB--1613_1600_1200;100;none;P216711301_0-P216711301_1-P216711301_2-P216711301_3;0-0-0-0
0090018000_03072022000063;4;1600;1200;1350;45;303.92;GERB--1613_1600_1200;100;none;P188731301_0-P188731301_1-P188731303_0-P188731303_1-P187731305_0-P187731305_1;0-0-0-0-50-50
0090018000_03072022000064;2;1600;1200;930;45;277.828;GERB--1613_1600_1200;100;none;P234717601_0-P234717601_1;0-0
0090018000_03072022000065;1;1200;1000;750;45;405.72;GERB--1213_1200_1000;100;none;P213711301_0-P213711301_1-P213711301_2;0-0-0
0090018000_03072022000066;1;1200;1000;558;0;127.408;GERB--3551_1200_1000;100;none;P234717601_0-P234717601_1;0-0
0090018000_03072022000067;1;1200;1000;750;45;227.528;GERB--1213_1200_1000;100;none;P192711301_0-P192711301_1-P192711301_2;0-0-0
0090018000_03072022000068;14;1400;1225;1160;0;317.0;GERB--7976_1400_1225;100;none;P195708201_0-P195708201_1-P194708201_0-P194708201_1;0-0-160-160
0090018000_03072022000069;1;1200;1000;1057;0;164.04;GERB--3551_1200_1000;100;none;P193711301_0-P193711301_1-P193711301_2-P192711301_0-P192711301_1-P192711301_2;0-0-0-50-50-50
0090018000_03072022000070;1;1200;1000;750;45;351.756;GERB--1213_1200_1000;100;none;P248711301_0-P248711301_1-P248711301_2;0-0-0
0090018000_03072022000071;3;780;570;478;47;82.32;GERB--3195_780_570;4;widthwise;P241711301_0-P241711301_1-P241711301_2;0-0-0
