ID;Length;Width;Height;Weight;Density;ListOfItems;TruckCost
P187731305_0;14940;2500;2950;24000;1500;0090018000_03072022000063-0090018000_03072022000530-0090018000_03072022000549-0090018000_03072022000639-0090018000_03072022000843-0090018000_03072022001056-0090018000_03072022001082-0090018000_03072022001217-0090018000_03072022001347-0090018000_03072022001459;1500.0
P187731305_1;14940;2500;2950;24000;1500;0090018000_03072022000063-0090018000_03072022000530-0090018000_03072022000549-0090018000_03072022000639-0090018000_03072022000843-0090018000_03072022001056-0090018000_03072022001082-0090018000_03072022001217-0090018000_03072022001347-0090018000_03072022001459;1800.0
P188731301_0;14940;2500;2950;24000;1500;0090018000_03072022000045-0090018000_03072022000063-0090018000_03072022000261-0090018000_03072022000569-0090018000_03072022001056-0090018000_03072022001075-0090018000_03072022001082-0090018000_03072022001217-0090018000_03072022001248-0090018000_03072022001347-0090018000_03072022001459-0090018000_03072022001580-0090018000_03072022001638;1500.0
P188731301_1;14940;2500;2950;24000;1500;0090018000_03072022000045-0090018000_03072022000063-0090018000_03072022000261-0090018000_03072022000569-0090018000_03072022001056-0090018000_03072022001075-0090018000_03072022001082-0090018000_03072022001217-0090018000_03072022001248-0090018000_03072022001347-0090018000_03072022001459-0090018000_03072022001580-0090018000_03072022001638;1800.0
P188731303_0;14940;2500;2950;24000;1500;0090018000_03072022000045-0090018000_03072022000063-0090018000_03072022000261-0090018000_03072022000569-0090018000_03072022001075-0090018000_03072022001082-0090018000_03072022001217-0090018000_03072022001248-0090018000_03072022001347-0090018000_03072022001580;1500.0
P188731303_1;14940;2500;2950;24000;1500;0090018000_03072022000045-0090018000_03072022000063-0090018000_03072022000261-0090018000_03072022000569-0090018000_03072022001075-0090018000_03072022001082-0090018000_03072022001217-0090018000_03072022001248-0090018000_03072022001347-0090018000_03072022001580;1800.0
P189706801_0;14940;2500;2950;24000;1500;0090018000_03072022000264-0090018000_03072022000328-0090018000_03072022000926-0090018000_03072022001404;1500.0
P189706801_1;14940;2500;2950;24000;1500;0090018000_03072022000264-0090018000_03072022000328-0090018000_03072022000926-0090018000_03072022001404;1800.0
P189709601_0;14940;2500;2950;24000;1500;0090018000_03072022000128-0090018000_03072022000315-0090018000_03072022000428-0090018000_03072022001342;1500.0
P189709601_1;14940;2500;2950;24000;1500;0090018000_03072022000128-0090018000_03072022000315-0090018000_03072022000428-0090018000_03072022001342;1800.0
