ID;Nbr;Length;Width;Height;NestedHeight;Weight;SC;MaxStackability;Orientation;ListOfTrucks;ListOfInventoryCosts
0091017600_03072022000001;2;2400;2200;1500;45;372.096;GERB--0440_2400_2200;100;none;P189540103_0-P189540103_1-P189540105_0-P188540103_0-P188540103_1-P188540105_0;0-0-0-30-30-30
0091017600_03072022000002;2;1200;1000;975;45;367.776;GERB--1213_1200_1000;100;none;P245652001_0-P245652001_1-P244652001_0-P244652001_1-P244652001_2-P243652001_0-P243652001_1-P243652001_2-P242652001_0-P242652001_1-P242652001_2;0-0-40-40-40-80-80-80-120-120-120
0091017600_03072022000003;1;800;600;560;42;143.84;GERB--0588_800_600;100;widthwise;P248652001_0-P248652001_1-P248652001_2-P245652001_0-P245652001_1-P244652001_0-P244652001_1-P244652001_2-P243652001_0-P243652001_1-P243652001_2;0-0-0-90-90-120-120-120-150-150-150
0091017600_03072022000004;1;2400;2200;1500;45;536.9;GERB--0440_2400_2200;100;none;P238549701_0-P238549701_1-P237549701_0-P237549701_1-P236549701_0-P236549701_1-P210549701_0-P210549701_1-P209549701_0-P209549701_1;0-0-50-50-100-100-1400-1400-1450-1450
0091017600_03072022000005;2;2400;2200;1500;45;372.096;GERB--0440_2400_2200;100;none;P188540103_0-P188540103_1-P188540105_0;0-0-0
0091017600_03072022000006;1;1206;1010;1382;0;120.2;GERB--0528_1206_1010;100;none;P209541403_0-P209541403_1-P207541403_0-P207541403_1;0-0-560-560
0091017600_03072022000007;1;1600;1200;930;45;226.0;GERB--1613_1600_1200;100;widthwise;P193549701_0-P193549701_1-P192549701_0-P192549701_1-P189549701_0-P189549701_1-P188549701_0-P188549701_1;0-0-20-20-80-80-100-100
0091017600_03072022000008;1;800;600;560;42;128.6;GERB--0588_800_600;100;widthwise;P243652003_0-P243652003_1-P243652003_2-P242652003_0-P242652003_1-P242652003_2-P241652003_0-P241652003_1-P241652003_2-P238652003_0-P238652003_1-P238652003_2;0-0-0-40-40-40-80-80-80-200-200-200
0091017600_03072022000009;2;780;570;478;47;193.05;GERB--3195_780_570;4;widthwise;P210652001_0-P210652001_1-P210652001_2-P209652001_0-P209652001_1-P209652001_2-P208652001_0-P208652001_1-P207652001_0-P207652001_1;0-0-0-30-30-30-60-60-90-90
0091017600_03072022000010;18;1200;1000;975;45;221.37;GERB--1213_1200_1000;100;none;P209652001_0-P209652001_1-P209652001_2-P208652001_0-P208652001_1-P208652005_0-P208652005_1-P207652001_0-P207652001_1-P206652001_0-P206652001_1-P206652005_0;0-0-0-20-20-20-20-40-40-60-60-60
0091017600_03072022000011;1;780;570;478;47;67.0;GERB--3195_780_570;4;widthwise;P238652003_0-P238652003_1-P238652003_2-P237652003_0-P237652003_1-P237652003_2-P210652003_0-P210652003_1-P210652003_2-P209652003_0-P209652003_1-P209652003_2;0-0-0-10-10-10-280-280-280-290-290-290
0091017600_03072022000012;21;1600;1200;930;45;264.272;GERB--1613_1600_1200;100;widthwise;P241655201_0-P241655201_1-P238655201_0-P238655201_1;0-0-630-630
0091017600_03072022000013;1;800;600;560;42;180.56;GERB--0588_800_600;100;widthwise;P237652001_0-P237652001_1-P210652001_0-P210652001_1-P210652001_2-P209652001_0-P209652001_1-P209652001_2-P208652001_0-P208652001_1;0-0-810-810-810-840-840-840-870-870
0091017600_03072022000014;1;1206;1010;1382;0;113.0;GERB--0528_1206_1010;100;none;P202541403_0-P202541403_1-P200541403_0-P200541403_1-P195541403_0-P195541403_1;0-0-500-500-1750-1750
0091017600_03072022000015;1;2400;2200;1500;45;360.798;GERB--0440_2400_2200;100;none;P196540103_0-P196540103_1-P195540103_0-P195540103_1-P195540105_0-P194540103_0-P194540103_1-P194540105_0-P193540103_0-P193540103_1-P193540105_0-P192540103_0-P192540103_1-P192540105_0-P189540103_0-P189540103_1-P189540105_0;0-0-40-40-40-80-80-80-120-120-120-160-160-160-280-280-280
0091017600_03072022000016;4;1200;1000;975;45;367.56;GERB--1213_1200_1000;100;none;P209652001_0-P209652001_1-P209652001_2-P208652001_0-P208652001_1-P207652001_0-P207652001_1-P206652001_0-P206652001_1;0-0-0-40-40-80-80-120-120
