ID;Nbr;Length;Width;Height;NestedHeight;Weight;SC;MaxStackability;Orientation;ListOfTrucks;ListOfInventoryCosts
0091017200_08062023000001;3;1200;1000;975;45;623.4;GERB--1213_1200_1000;100;none;P173630901_0-P173630901_1-P171630901_0;0-0-110
0091017200_08062023000002;5;1200;1000;975;45;623.4;GERB--1213_1200_1000;100;none;P209630901_0-P209630901_1-P208630901_0-P208630901_1;0-0-55-55
0091017200_08062023000003;1;1200;1000;975;45;597.0;GERB--1213_1200_1000;100;none;P194630901_0-P194630901_1-P192630901_0-P192630901_1-P192630901_2;0-0-106-106-106
0091017200_08062023000004;4;1200;1000;975;45;623.4;GERB--1213_1200_1000;100;none;P174630901_0-P174630901_1-P173630901_0-P173630901_1-P171630901_0;0-0-55-55-165
0091017200_08062023000005;4;1200;1000;975;45;206.6;GERB--1213_1200_1000;100;none;P187630901_0-P187630901_1-P185630901_0-P185630901_1;0-0-18-18
0091017200_08062023000006;6;1200;1000;975;45;217.24;GERB--1213_1200_1000;100;none;P201630901_0-P201630901_1-P199630901_0-P199630901_1-P199630901_2;0-0-22-22-22
0091017200_08062023000007;8;1200;1000;975;45;623.4;GERB--1213_1200_1000;100;none;P241630901_0-P241630901_1-P237630901_0-P237630901_1-P236630901_0-P236630901_1;0-0-220-220-275-275
0091017200_08062023000008;2;1200;1000;975;45;196.6;GERB--1213_1200_1000;100;none;P241630901_0-P241630901_1-P237630901_0-P237630901_1-P236630901_0-P236630901_1;0-0-36-36-45-45
0091017200_08062023000009;13;1200;1000;975;45;217.24;GERB--1213_1200_1000;100;none;P185630901_0-P185630901_1;0-0
0091017200_08062023000010;5;1200;1000;975;45;195.292;GERB--1213_1200_1000;100;none;P202630901_0-P202630901_1-P202630901_2-P202630901_3-P201630901_0-P201630901_1-P199630901_0-P199630901_1-P199630901_2;0-0-0-0-8-8-24-24-24
0091017200_08062023000011;2;1200;1000;975;45;195.292;GERB--1213_1200_1000;100;none;P194630901_0-P194630901_1-P192630901_0-P192630901_1-P192630901_2;0-0-16-16-16
0091017200_08062023000012;3;1200;1000;975;45;597.0;GERB--1213_1200_1000;100;none;P187630901_0-P187630901_1-P185630901_0-P185630901_1;0-0-106-106
0091017200_08062023000013;6;1200;1000;975;45;217.24;GERB--1213_1200_1000;100;none;P187630901_0-P187630901_1-P185630901_0-P185630901_1;0-0-22-22
0091017200_08062023000014;1;1200;1000;975;45;196.6;GERB--1213_1200_1000;100;none;P243630901_0-P243630901_1-P241630901_0-P241630901_1;0-0-18-18
