ID;Length;Width;Height;Weight;Density;ListOfItems;TruckCost
P308305201_0;13500;2440;2900;25500;1500;0090018400_26102022000106-0090018400_26102022000158-0090018400_26102022000162-0090018400_26102022000203;1500.0
P308305201_1;13500;2440;2900;25500;1500;0090018400_26102022000106-0090018400_26102022000158-0090018400_26102022000162-0090018400_26102022000203;1800.0
P311305201_0;13500;2440;2900;25500;1500;0090018400_26102022000026-0090018400_26102022000064-0090018400_26102022000069-0090018400_26102022000092-0090018400_26102022000101-0090018400_26102022000146-0090018400_26102022000168-0090018400_26102022000200-0090018400_26102022000202;1500.0
P311305201_1;13500;2440;2900;25500;1500;0090018400_26102022000026-0090018400_26102022000064-0090018400_26102022000069-0090018400_26102022000092-0090018400_26102022000101-0090018400_26102022000146-0090018400_26102022000168-0090018400_26102022000200-0090018400_26102022000202;1800.0
P313097701_0;13500;2440;2600;25000;1500;0090018400_26102022000080;1500.0
P313097701_1;13500;2440;2600;25000;1500;0090018400_26102022000080;1800.0
P313305201_0;13500;2440;2900;25500;1500;0090018400_26102022000007-0090018400_26102022000031-0090018400_26102022000068-0090018400_26102022000095-0090018400_26102022000103-0090018400_26102022000104-0090018400_26102022000118-0090018400_26102022000121-0090018400_26102022000198;1500.0
P313305201_1;13500;2440;2900;25500;1500;0090018400_26102022000007-0090018400_26102022000031-0090018400_26102022000068-0090018400_26102022000095-0090018400_26102022000103-0090018400_26102022000104-0090018400_26102022000118-0090018400_26102022000121-0090018400_26102022000198;1800.0
P314305201_0;13500;2440;2900;25500;1500;0090018400_26102022000052-0090018400_26102022000053-0090018400_26102022000074-0090018400_26102022000083-0090018400_26102022000110-0090018400_26102022000117-0090018400_26102022000147-0090018400_26102022000159-0090018400_26102022000182;1500.0
P314305201_1;13500;2440;2900;25500;1500;0090018400_26102022000052-0090018400_26102022000053-0090018400_26102022000074-0090018400_26102022000083-0090018400_26102022000110-0090018400_26102022000117-0090018400_26102022000147-0090018400_26102022000159-0090018400_26102022000182;1800.0
P318305201_0;13500;2440;2900;25500;1500;0090018400_26102022000002-0090018400_26102022000014-0090018400_26102022000034-0090018400_26102022000050-0090018400_26102022000073-0090018400_26102022000086-0090018400_26102022000102-0090018400_26102022000165-0090018400_26102022000197;1500.0
P318305201_1;13500;2440;2900;25500;1500;0090018400_26102022000002-0090018400_26102022000014-0090018400_26102022000034-0090018400_26102022000050-0090018400_26102022000073-0090018400_26102022000086-0090018400_26102022000102-0090018400_26102022000165-0090018400_26102022000197;1800.0
P320097701_0;13500;2440;2600;25000;1500;0090018400_26102022000078-0090018400_26102022000201;1500.0
P320097701_1;13500;2440;2600;25000;1500;0090018400_26102022000078-0090018400_26102022000201;1800.0
P320305201_0;13500;2440;2900;25500;1500;0090018400_26102022000016-0090018400_26102022000020-0090018400_26102022000039-0090018400_26102022000040-0090018400_26102022000075-0090018400_26102022000094-0090018400_26102022000151-0090018400_26102022000164-0090018400_26102022000195;1500.0
P320305201_1;13500;2440;2900;25500;1500;0090018400_26102022000016-0090018400_26102022000020-0090018400_26102022000039-0090018400_26102022000040-0090018400_26102022000075-0090018400_26102022000094-0090018400_26102022000151-0090018400_26102022000164-0090018400_26102022000195;1800.0
P321305201_0;13500;2440;2900;25500;1500;0090018400_26102022000022-0090018400_26102022000038-0090018400_26102022000043-0090018400_26102022000054-0090018400_26102022000096-0090018400_26102022000128-0090018400_26102022000145-0090018400_26102022000152-0090018400_26102022000194;1500.0
P321305201_1;13500;2440;2900;25500;1500;0090018400_26102022000022-0090018400_26102022000038-0090018400_26102022000043-0090018400_26102022000054-0090018400_26102022000096-0090018400_26102022000128-0090018400_26102022000145-0090018400_26102022000152-0090018400_26102022000194;1800.0
P325305201_0;13500;2440;2900;25500;1500;0090018400_26102022000013-0090018400_26102022000028-0090018400_26102022000077-0090018400_26102022000108-0090018400_26102022000135-0090018400_26102022000142-0090018400_26102022000153-0090018400_26102022000160-0090018400_26102022000196;1500.0
P325305201_1;13500;2440;2900;25500;1500;0090018400_26102022000013-0090018400_26102022000028-0090018400_26102022000077-0090018400_26102022000108-0090018400_26102022000135-0090018400_26102022000142-0090018400_26102022000153-0090018400_26102022000160-0090018400_26102022000196;1800.0
P327097701_0;13500;2440;2600;25000;1500;0090018400_26102022000067-0090018400_26102022000163;1500.0
P327097701_1;13500;2440;2600;25000;1500;0090018400_26102022000067-0090018400_26102022000163;1800.0
P327305201_0;13500;2440;2900;25500;1500;0090018400_26102022000005-0090018400_26102022000010-0090018400_26102022000041-0090018400_26102022000047-0090018400_26102022000049-0090018400_26102022000089-0090018400_26102022000138-0090018400_26102022000140-0090018400_26102022000180;1500.0
P327305201_1;13500;2440;2900;25500;1500;0090018400_26102022000005-0090018400_26102022000010-0090018400_26102022000041-0090018400_26102022000047-0090018400_26102022000049-0090018400_26102022000089-0090018400_26102022000138-0090018400_26102022000140-0090018400_26102022000180;1800.0
P328305201_0;13500;2440;2900;25500;1500;0090018400_26102022000001-0090018400_26102022000027-0090018400_26102022000072-0090018400_26102022000113-0090018400_26102022000114-0090018400_26102022000161-0090018400_26102022000185-0090018400_26102022000186-0090018400_26102022000188;1500.0
P328305201_1;13500;2440;2900;25500;1500;0090018400_26102022000001-0090018400_26102022000027-0090018400_26102022000072-0090018400_26102022000113-0090018400_26102022000114-0090018400_26102022000161-0090018400_26102022000185-0090018400_26102022000186-0090018400_26102022000188;1800.0
P332305201_0;13500;2440;2900;25500;1500;0090018400_26102022000015-0090018400_26102022000085-0090018400_26102022000093-0090018400_26102022000155-0090018400_26102022000166-0090018400_26102022000183-0090018400_26102022000184-0090018400_26102022000191;1500.0
