ID;Nbr;Length;Width;Height;NestedHeight;Weight;SC;MaxStackability;Orientation;ListOfTrucks;ListOfInventoryCosts
0090016500_26102022000001;3;800;600;560;42;436.65;GERB--0588_800_600;100;none;P313525803_0-P313525803_1-P312525803_0-P312525803_1-P311525803_0-P311525803_1-P311525805_0-P311525805_1-P308525803_0-P308525803_1-P308525803_2;0-0-45-45-90-90-90-90-225-225-225
0090016500_26102022000002;13;1275;1014;840;140;1228.8;GERB--0051_1275_1014;3;widthwise;P355623501_0-P355623501_1-P355623501_2-P355623501_3-P354623501_0-P354623501_1-P353623501_0-P353623501_1-P353623501_2-P350623501_0-P350623501_1-P350623501_2;0-0-0-0-110-110-220-220-220-550-550-550
0090016500_26102022000003;4;1275;1014;840;140;1228.8;GERB--0051_1275_1014;3;widthwise;P347623501_0-P347623501_1-P346623501_0-P346623501_1-P346623501_2-P343623501_0-P343623501_1-P343623501_2-P341623501_0-P341623501_1-P341623501_2;0-0-110-110-110-440-440-440-660-660-660
0090016500_26102022000004;3;1275;1014;840;140;1683.5;GERB--0051_1275_1014;3;widthwise;P357623401_0-P357623401_1-P357623401_2-P356623401_0-P356623401_1-P356623401_2;0-0-0-140-140-140
0090016500_26102022000005;2;1206;1010;1185;0;173.9;GERB--0528_1206_1010;100;none;P325575101_0-P325575101_1-P320575101_0-P320575101_1;0-0-250-250
0090016500_26102022000006;2;1206;1010;1185;0;596.7;GERB--0528_1206_1010;100;none;P340575203_0-P340575203_1;0-0
0090016500_26102022000007;18;1600;1200;930;45;407.5;GERB--1613_1600_1200;100;widthwise;P319575201_0-P319575201_1-P319575203_0-P319575203_1-P318575203_0-P318575203_1-P318575203_2-P315575203_0-P315575203_1-P315575203_2-P314575201_0-P314575201_1-P314575203_0-P314575203_1;0-0-0-0-45-45-45-180-180-180-225-225-225-225
0090016500_26102022000008;2;1200;800;450;0;120.4;GERB--3737_1200_800;1;none;P336623301_0-P336623301_1;0-0
0090016500_26102022000009;9;1600;1200;930;45;486.928;GERB--1613_1600_1200;100;widthwise;P347575201_0-P347575201_1-P347575203_0-P347575203_1-P346575203_0-P346575203_1-P346575203_2-P343575203_0-P343575203_1-P343575203_2-P341575203_0-P341575203_1-P341575203_2;0-0-0-0-70-70-70-280-280-280-420-420-420
0090016500_26102022000010;4;780;570;478;47;474.0;GERB--3195_780_570;4;widthwise;P353525803_0-P353525803_1-P353525805_0-P353525805_1-P350525803_0-P350525803_1-P350525803_2-P349525803_0-P349525803_1-P349525805_0-P349525805_1-P348525803_0-P348525803_1;0-0-0-0-90-90-90-120-120-120-120-150-150
0090016500_26102022000011;4;1600;1200;930;45;457.549;GERB--1613_1600_1200;100;widthwise;P332525601_0-P332525601_1-P329525601_0-P329525601_1-P329525601_2-P328525601_0-P328525601_1-P328525601_2-P327525601_0-P327525601_1-P327525601_2;0-0-165-165-165-220-220-220-275-275-275
0090016500_26102022000012;6;1275;1014;840;140;1228.8;GERB--0051_1275_1014;3;widthwise;P350623501_0-P350623501_1-P350623501_2-P348623501_0-P348623501_1-P348623501_2-P348623501_3-P347623501_0-P347623501_1;0-0-0-220-220-220-220-330-330
0090016500_26102022000013;6;1600;1200;930;45;486.928;GERB--1613_1600_1200;100;widthwise;P341575101_0-P341575101_1-P340575103_0-P340575103_1-P339575101_0-P339575101_1-P339575105_0-P339575105_1-P336575103_0-P336575103_1-P336575103_2;0-0-70-70-140-140-140-140-350-350-350
0090016500_26102022000014;3;800;600;560;42;437.32;GERB--0588_800_600;100;none;P347525803_0-P347525803_1-P346525803_0-P346525803_1-P346525805_0-P346525805_1-P343525803_0-P343525803_1-P343525803_2-P341525803_0-P341525803_1-P341525803_2;0-0-40-40-40-40-160-160-160-240-240-240
0090016500_26102022000015;12;780;570;478;47;271.2;GERB--3195_780_570;4;widthwise;P355525803_0-P355525803_1-P354525803_0-P354525803_1-P353525803_0-P353525803_1-P353525805_0-P353525805_1-P350525803_0-P350525803_1-P350525803_2;0-0-30-30-60-60-60-60-150-150-150
0090016500_26102022000016;10;1206;1010;985;0;505.72;GERB--0528_1206_1010;100;none;P348624101_0-P348624101_1-P343624101_0-P343624101_1;0-0-1550-1550
0090016500_26102022000017;1;800;600;560;42;437.32;GERB--0588_800_600;100;none;P328525803_0-P328525803_1-P327525803_0-P327525803_1-P326525803_0-P326525803_1-P325525803_0-P325525803_1-P325525805_0-P325525805_1;0-0-40-40-80-80-120-120-120-120
0090016500_26102022000018;1;1206;1010;1185;0;596.7;GERB--0528_1206_1010;100;none;P355575203_0-P355575203_1;0-0
0090016500_26102022000019;8;800;600;560;42;432.5;GERB--0588_800_600;100;none;P350525803_0-P350525803_1-P350525803_2-P349525803_0-P349525803_1-P349525805_0-P349525805_1-P348525803_0-P348525803_1-P347525803_0-P347525803_1;0-0-0-40-40-40-40-80-80-120-120
0090016500_26102022000020;4;780;570;478;47;474.0;GERB--3195_780_570;4;widthwise;P326525803_0-P326525803_1-P325525803_0-P325525803_1-P325525805_0-P325525805_1-P322525803_0-P322525803_1-P322525803_2-P321525803_0-P321525803_1-P321525805_0-P321525805_1;0-0-30-30-30-30-120-120-120-150-150-150-150
0090016500_26102022000021;2;800;600;560;42;438.0;GERB--0588_800_600;100;none;P002525803_0-P002525803_1-P002525805_0-P002525805_1-P357525803_0-P357525803_1-P357525803_2-P356525803_0-P356525803_1-P356525805_0-P356525805_1;0-0-0-0-450-450-450-495-495-495-495
0090016500_26102022000022;16;1206;1010;985;0;505.72;GERB--0528_1206_1010;100;none;P350624101_0-P350624101_1-P348624101_0-P348624101_1;0-0-620-620
0090016500_26102022000023;4;780;570;478;47;474.0;GERB--3195_780_570;4;widthwise;P357525803_0-P357525803_1-P357525803_2-P356525803_0-P356525803_1-P356525805_0-P356525805_1;0-0-0-30-30-30-30
0090016500_26102022000024;5;800;600;560;42;397.12;GERB--0588_800_600;100;none;P332623401_0-P332623401_1-P329623401_0-P329623401_1-P329623401_2-P328623401_0-P328623401_1-P328623401_2-P327623401_0-P327623401_1;0-0-120-120-120-160-160-160-200-200
0090016500_26102022000025;6;1200;1000;930;45;182.515;GERB--1213_1200_1000;100;none;P308624101_0-P308624101_1;0-0
0090016500_26102022000026;2;1275;1014;840;140;1683.5;GERB--0051_1275_1014;3;widthwise;P325623401_0-P325623401_1-P322623401_0-P322623401_1-P322623401_2-P321623401_0-P321623401_1-P321623401_2-P320623401_0-P320623401_1;0-0-420-420-420-560-560-560-700-700
0090016500_26102022000027;20;800;600;560;42;265.84;GERB--0588_800_600;100;none;P347575201_0-P347575201_1;0-0
